1,"Egypt", "Cairo", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
2,"USA","Area 51", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
3,"USA","Los Angeles", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
4,"USA","New York City", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
5,"Russia", "Moscow", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
6,"China", "Shanghai", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
7,"India", "Mumbai", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
8,"Australia", "Sydney", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
9,"Iceland", "Reykjavik", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
10,"France", "Paris", 0, .5, 0, .4, 0, .6, 0, .6, 0, .6, 5, .5,00:00:00,00:00:00
